,1. open,2. high,3. low,4. close,5. volume
2024-09-26 17:47:00,223.5800,223.5800,223.5800,223.5800,3
2024-09-26 17:46:00,223.5800,223.5800,223.5800,223.5800,1
2024-09-26 17:41:00,223.5000,223.5000,223.5000,223.5000,3
2024-09-26 17:40:00,223.5800,223.5800,223.5800,223.5800,3
2024-09-26 17:38:00,223.5900,223.5900,223.5800,223.5800,110
2024-09-26 17:34:00,223.5900,223.5900,223.5900,223.5900,4
2024-09-26 17:33:00,223.5900,223.5900,223.5900,223.5900,1
2024-09-26 17:30:00,223.4500,223.4500,223.4500,223.4500,1
2024-09-26 17:29:00,223.5900,223.5900,223.5900,223.5900,3
2024-09-26 17:27:00,223.5900,223.5900,223.5900,223.5900,25
2024-09-26 17:26:00,223.5000,223.5000,223.5000,223.5000,60
2024-09-26 17:23:00,223.5900,223.5900,223.5900,223.5900,1
2024-09-26 17:20:00,223.5900,223.5900,223.5900,223.5900,1
2024-09-26 17:19:00,223.5800,223.5800,223.5800,223.5800,6
2024-09-26 17:18:00,223.5600,223.5800,223.5600,223.5800,134
2024-09-26 17:15:00,223.5800,223.5800,223.5800,223.5800,2
2024-09-26 17:14:00,223.5300,223.5300,223.5300,223.5300,1
2024-09-26 17:11:00,223.5800,223.5800,223.5800,223.5800,10
2024-09-26 17:09:00,223.5900,223.5900,223.5900,223.5900,250
2024-09-26 17:00:00,223.4300,223.4300,223.4300,223.4300,859
2024-09-26 16:57:00,223.5620,223.5620,223.5620,223.5620,10
2024-09-26 16:48:00,223.5500,223.5500,223.5500,223.5500,5
2024-09-26 16:47:00,223.5500,223.5500,223.5500,223.5500,5
2024-09-26 16:46:00,223.5300,223.5300,223.5300,223.5300,1
2024-09-26 16:45:00,223.5900,223.5900,223.5900,223.5900,1
2024-09-26 16:43:00,223.5800,223.5800,223.5800,223.5800,1
2024-09-26 16:41:00,223.5600,223.5600,223.5600,223.5600,20
2024-09-26 16:39:00,220.9700,220.9700,220.9700,220.9700,5
2024-09-26 16:38:00,223.4300,223.4300,223.3500,223.3500,39579
2024-09-26 16:36:00,223.4300,223.4300,223.4300,223.4300,6
2024-09-26 16:35:00,223.5899,223.5899,223.5899,223.5899,5
2024-09-26 16:34:00,223.4300,223.4300,223.4300,223.4300,369
2024-09-26 16:26:00,223.5800,223.5800,223.5800,223.5800,2
2024-09-26 16:23:00,223.2600,223.2600,222.8700,222.8700,75
2024-09-26 16:22:00,223.5900,223.5900,223.5900,223.5900,1
2024-09-26 16:21:00,223.5900,223.5900,223.5900,223.5900,150
2024-09-26 16:15:00,223.4300,223.5900,223.4300,223.5900,303
2024-09-26 16:11:00,223.4600,223.4600,223.4600,223.4600,8
2024-09-26 16:10:00,223.4300,223.4300,223.4300,223.4300,453517
2024-09-26 16:09:00,223.5900,223.5900,223.5900,223.5900,127
2024-09-26 16:07:00,223.7800,223.7800,223.7800,223.7800,500
2024-09-26 16:06:00,223.4300,223.4300,223.4300,223.4300,2
2024-09-26 16:05:00,223.3000,223.3000,223.3000,223.3000,2
2024-09-26 16:04:00,223.4300,223.4300,223.4000,223.4000,1343
2024-09-26 16:03:00,223.4300,223.4300,223.4300,223.4300,28987
2024-09-26 16:02:00,223.4300,223.4300,223.4300,223.4300,2010
2024-09-26 16:01:00,223.4300,223.4300,223.4300,223.4300,4512
2024-09-26 16:00:00,223.4900,223.4900,223.4300,223.4300,1001996
2024-09-26 15:59:00,223.5900,223.6500,223.3800,223.4800,82213
2024-09-26 15:58:00,223.6300,223.6400,223.5600,223.5800,35406
2024-09-26 15:57:00,223.6200,223.6800,223.6000,223.6300,23888
2024-09-26 15:56:00,223.5000,223.6400,223.4800,223.6100,22626
2024-09-26 15:55:00,223.3200,223.4900,223.2900,223.4900,21591
2024-09-26 15:54:00,223.1860,223.3450,223.1860,223.3000,20324
2024-09-26 15:53:00,223.0900,223.2000,223.0800,223.1750,18856
2024-09-26 15:52:00,223.2500,223.3900,223.1000,223.1000,23046
2024-09-26 15:51:00,223.3790,223.3790,223.2400,223.2400,12534
